Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2011-02-28 00:00:00+11:00,7.135125255410921,7.135125255410921,7.1257123947143555,7.1257123947143555,450,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-01 00:00:00+11:00,7.153954029083252,7.153954029083252,7.153954029083252,7.153954029083252,1061,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-02 00:00:00+11:00,7.201017723397405,7.201017723397405,7.106886863708496,7.106886863708496,1100,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-03 00:00:00+11:00,7.1304189144512975,7.144538879394531,7.125712708321543,7.144538879394531,13383,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-04 00:00:00+11:00,7.257494337564759,7.257494337564759,7.243374824523926,7.243374824523926,2328,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-07 00:00:00+11:00,7.224550218667562,7.224550218667562,7.144538879394531,7.144538879394531,3863,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-08 00:00:00+11:00,7.102180531424469,7.149245738983154,7.102180531424469,7.149245738983154,105310,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-09 00:00:00+11:00,7.149245441983388,7.149245441983388,7.073940753936768,7.073940753936768,103417,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-10 00:00:00+11:00,7.0739411811939465,7.0739411811939465,7.026875972747803,7.026875972747803,2616,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-11 00:00:00+11:00,6.979811528715183,6.979811528715183,6.942159175872803,6.942159175872803,3999,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-15 00:00:00+11:00,6.885678781759229,6.895091642994811,6.7821346150598485,6.829200267791748,15030,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-16 00:00:00+11:00,6.777427689974764,6.833906650543213,6.777427689974764,6.833906650543213,2434,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-17 00:00:00+11:00,6.833906922835204,6.833906922835204,6.829200267791748,6.829200267791748,2750,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-18 00:00:00+11:00,6.857438811922776,6.885678291320801,6.81978647195961,6.885678291320801,231730,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-21 00:00:00+11:00,6.913916903666917,6.937449726933296,6.913916903666917,6.932743072509766,7171,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-22 00:00:00+11:00,6.960983166945949,6.970396476627032,6.946863651275635,6.946863651275635,12171,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-23 00:00:00+11:00,6.956279480541135,6.960986137390137,6.946866615694634,6.960986137390137,8620,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-24 00:00:00+11:00,7.026872905581846,7.026872905581846,7.012752945245,7.0221662521362305,6530,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-25 00:00:00+11:00,7.045699119567871,7.045699119567871,7.045699119567871,7.045699119567871,1000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-28 00:00:00+11:00,7.111593713114251,7.111593713114251,7.088061332702637,7.088061332702637,2009,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-29 00:00:00+11:00,7.106886537248555,7.144538879394531,7.097473227286399,7.144538879394531,17229,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-30 00:00:00+11:00,7.177484512329102,7.177484512329102,7.177484512329102,7.177484512329102,2000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-03-31 00:00:00+11:00,7.205724307310717,7.205724307310717,7.1916043418585565,7.196310997009277,3372,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-01 00:00:00+11:00,7.201015205909595,7.262200355529785,7.1821890405534745,7.262200355529785,19925,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-04 00:00:00+10:00,7.285736897407518,7.285736897407518,7.248084545135498,7.248084545135498,11530,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-05 00:00:00+10:00,7.248083211030816,7.276322694462706,7.238670349121094,7.238670349121094,4860,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-06 00:00:00+10:00,7.22925703836001,7.238670349121094,7.22925703836001,7.238670349121094,820,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-07 00:00:00+10:00,7.262204513876089,7.262204513876089,7.248084545135498,7.248084545135498,2015,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-08 00:00:00+10:00,7.248084545135498,7.248084545135498,7.248084545135498,7.248084545135498,0,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
